Countries,"Unemployment rate forecast, 2023",Global rank,Available data
South Africa,34.72,1,1980 - 2028
Sudan,33.06,2,1981 - 2028
Ukraine,20.85,3,1995 - 2023
Georgia,19.51,4,1996 - 2028
Bosnia & Herz.,17.2,5,1995 - 2028
North Macedonia,14.5,6,1996 - 2028
Costa Rica,13,7,1980 - 2028
Spain,12.63,8,1980 - 2028
Armenia,12.5,9,2001 - 2028
Bahamas,12.01,10,1986 - 2028
Colombia,11.33,11,1980 - 2028
Greece,11.2,12,1980 - 2028
Turkey,11.03,13,1980 - 2028
Albania,11,14,1980 - 2028
Morocco,10.96,15,1995 - 2028
Suriname,10.6,16,1994 - 2028
Barbados,9.94,17,1981 - 2028
Iran,9.8,18,1990 - 2028
Serbia,9.21,19,1997 - 2028
Kyrgyzstan,9.01,20,1994 - 2028
Cape Verde,8.5,21,1980 - 2028
Uzbekistan,8.35,22,2002 - 2028
Italy,8.3,23,1980 - 2028
Chile,8.28,24,1980 - 2028
Uruguay,8.26,25,1983 - 2028
Brazil,8.21,26,1991 - 2028
Honduras,8.08,27,1980 - 2028
Panama,8,28,1980 - 2028
Puerto Rico,7.9,29,1980 - 2028
Aruba,7.82,30,1991 - 2028
Sweden,7.8,31,1980 - 2028
Egypt,7.65,32,1990 - 2028
Argentina,7.6,33,1980 - 2028
Peru,7.55,34,1980 - 2028
Finland,7.47,35,1980 - 2028
Mauritius,7.37,36,1982 - 2028
France,7.36,37,1980 - 2028
Nicaragua,7.16,38,1980 - 2028
Latvia,7.04,39,1992 - 2028
Lithuania,7,40,1999 - 2028
Pakistan,7,41,1983 - 2028
Brunei,6.82,42,2011 - 2028
Portugal,6.57,43,1980 - 2028
Mongolia,6.56,44,2007 - 2028
Cyprus,6.45,45,1982 - 2028
Croatia,6.41,46,1991 - 2028
Paraguay,6.36,47,1983 - 2028
Domin. Rep.,6.2,48,1991 - 2028
Estonia,6.15,49,1993 - 2028
Belgium,6.02,50,1980 - 2028
Slovakia,6,51,1993 - 2028
Canada,5.83,52,1980 - 2028
Azerbaijan,5.82,53,2000 - 2028
Romania,5.6,54,1985 - 2028
El Salvador,5.5,55,1988 - 2028
Fiji,5.5,56,1986 - 2028
Austria,5.35,57,1980 - 2028
Indonesia,5.3,58,1984 - 2028
Philippines,5.26,59,1985 - 2028
San Marino,5.14,60,2001 - 2028
Denmark,5.1,61,1980 - 2028
Luxembourg,5.08,62,1980 - 2028
Belize,5.02,63,1990 - 2028
Sri Lanka,5,64,1990 - 2028
Bolivia,4.9,65,2000 - 2028
Kazakhstan,4.8,66,1994 - 2028
Bulgaria,4.6,67,1989 - 2028
Ireland,4.48,68,1985 - 2028
Bahrain,4.4,69,2007 - 2028
Belarus,4.31,70,1993 - 2028
New Zealand,4.27,71,1980 - 2028
UK,4.15,72,1980 - 2028
China,4.1,73,1980 - 2028
Hungary,4.08,74,1980 - 2028
Australia,3.96,75,1980 - 2028
Netherlands,3.9,76,1980 - 2028
Slovenia,3.9,77,1992 - 2028
USA,3.83,78,1980 - 2028
Israel,3.8,79,1980 - 2028
Taiwan,3.66,80,1980 - 2028
South Korea,3.65,81,1980 - 2028
Malaysia,3.63,82,1985 - 2028
Russia,3.61,83,1992 - 2028
Ecuador,3.58,84,1988 - 2028
Czechia,3.5,85,1995 - 2028
Norway,3.5,86,1980 - 2028
Iceland,3.44,87,1980 - 2028
Hong Kong,3.43,88,1980 - 2028
Mexico,3.28,89,1980 - 2028
Germany,3.27,90,1980 - 2028
Poland,3.18,91,1990 - 2028
Malta,3.1,92,1983 - 2028
Moldova,3,93,1993 - 2028
Seychelles,3,94,1995 - 2028
Macao,2.65,95,2001 - 2028
Vietnam,2.42,96,1990 - 2028
Switzerland,2.33,97,1980 - 2028
Japan,2.3,98,1980 - 2028
Andorra,2.1,99,2010 - 2028
Singapore,2.1,100,1980 - 2028
Thailand,1,101,2001 - 2028
